,date,username,system_id,test_tab_ref,set_power,pos_angle,signal_cat,pw,pri,ampl,rms_error,test_status,remarks
0,2024-03-07 10:21:09.807778,SATHISH,3.0,wb_freq_acc_test_30,-16.0,203.0,CW,197.0,290.0,-26.0,90.0,Incomplete,new row added
1,2024-03-07 10:21:10.832454,JASWANTH,5.0,wb_freq_acc_test_31,-22.0,206.0,STAGGER,4.0,878.0,-23.0,12.0,Incomplete,new row added
2,2024-03-07 10:21:11.848438,SUDHAKAR,3.0,wb_freq_acc_test_32,-73.0,21.0,CW,622.0,767.0,-16.0,91.0,Incomplete,new row added
3,2024-03-07 10:21:12.863156,AKHIL,2.0,wb_freq_acc_test_33,-79.0,228.0,CW,20.0,181.0,-23.0,69.0,Incomplete,new row added
4,2024-03-07 10:21:13.875195,ADITYA,5.0,wb_freq_acc_test_34,-80.0,345.0,JITTER,153.0,686.0,-17.0,10.0,Incomplete,new row added
5,2024-03-07 10:21:14.886185,SUDHAKAR,3.0,wb_freq_acc_test_35,-24.0,292.0,STAGGER,726.0,998.0,-6.0,88.0,Incomplete,new row added
6,2024-03-07 10:21:15.912007,SATHISH,8.0,wb_freq_acc_test_36,-8.0,313.0,STABLE,467.0,710.0,-6.0,13.0,Completed,new row added
7,2024-03-07 10:21:16.927976,SUDHAKAR,6.0,wb_freq_acc_test_37,-87.0,151.0,JITTER,667.0,486.0,-12.0,61.0,Incomplete,new row added
8,2024-03-07 10:21:17.942597,ADITYA,4.0,wb_freq_acc_test_38,-83.0,277.0,D&S,916.0,837.0,-10.0,47.0,Completed,new row added
9,2024-03-07 10:21:18.959278,KALYANI,5.0,wb_freq_acc_test_39,-80.0,267.0,JITTER,758.0,955.0,-28.0,85.0,Incomplete,new row added
10,2024-03-07 10:21:19.971497,KRISHNA,5.0,wb_freq_acc_test_40,-75.0,87.0,STABLE,65.0,543.0,-10.0,29.0,Incomplete,new row added
11,2024-03-07 10:21:20.998589,MADHAVI,7.0,wb_freq_acc_test_41,-75.0,345.0,D&S,433.0,602.0,-7.0,40.0,Completed,new row added
12,2024-03-07 10:21:22.016738,ADITYA,4.0,wb_freq_acc_test_42,-23.0,201.0,STABLE,222.0,861.0,-19.0,72.0,Incomplete,new row added
13,2024-03-07 10:21:23.035142,BHASKAR,6.0,wb_freq_acc_test_43,-83.0,258.0,STABLE,398.0,609.0,-17.0,90.0,Completed,new row added
14,2024-03-07 10:21:24.051946,JASWANTH,2.0,wb_freq_acc_test_44,-51.0,308.0,STAGGER,88.0,441.0,-4.0,40.0,Incomplete,new row added
15,2024-03-07 10:21:25.066165,BHASKAR,2.0,wb_freq_acc_test_45,-85.0,4.0,CW,245.0,525.0,-25.0,89.0,Completed,new row added
16,2024-03-07 10:21:26.079115,NAVYA,2.0,wb_freq_acc_test_46,-70.0,60.0,D&S,938.0,971.0,-26.0,50.0,Completed,new row added
17,2024-03-07 10:21:27.095861,KALYANI,1.0,wb_freq_acc_test_47,-6.0,172.0,STAGGER,924.0,213.0,-11.0,47.0,Incomplete,new row added
18,2024-03-07 10:21:28.109870,BHASKAR,4.0,wb_freq_acc_test_48,-35.0,190.0,STABLE,41.0,595.0,-22.0,44.0,Completed,new row added
19,2024-03-07 10:21:29.121478,BHASKAR,9.0,wb_freq_acc_test_49,-72.0,41.0,JITTER,107.0,764.0,-15.0,24.0,Incomplete,new row added
20,2024-03-07 10:21:30.135463,RAJU,5.0,wb_freq_acc_test_50,-45.0,325.0,JITTER,888.0,342.0,-23.0,88.0,Completed,new row added
