,Teddy_Names,Teddy_Prices,Teddy_Ratings,Teddy_Images,Teddy_Links
0,Osjs 4 feet Very Cute Long Soft Huggable American Style...,₹409,4.1,https://rukminim2.flixcart.com/image/612/612/kwl0akw0/stuffed-toy/k/h/i/5-feet-stuffed-spongy-huggable-smar-toys-cute-soft-red-teddy-original-imag982wnngwad3n.jpeg?q=70,https://www.flipkart.com/osjs-4-feet-very-cute-long-soft-huggable-american-style-teddy-bear-120-5-cm/p/itm5722f7487f6cf?pid=STFG8DEGAAY86JYM&lid=LSTSTFG8DEGAAY86JYMGRB0VM&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&spotlightTagId=BestsellerId_tng%2Fclb%2Fxv3&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFG8DEGAAY86JYM.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
1,Macros Super Soft 10 Complete Pack Stuffed/soft toy Com...,₹399,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/stuffed-toy/b/n/y/super-soft-10-complete-pack-stuffed-soft-toy-combo-of-teddy-bear-original-imagwdf5marpgkfz.jpeg?q=70,https://www.flipkart.com/macros-super-soft-10-complete-pack-stuffed-soft-toy-combo-teddy-bear-kids-gift-25-cm/p/itm61d84a4589a5f?pid=STFG4X5GHUMXV3VQ&lid=LSTSTFG4X5GHUMXV3VQYN32BD&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFG4X5GHUMXV3VQ.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
2,Osjs SOFT TOYS LOVER teddy bear pink colors size 3 feet...,₹299,3.9,https://rukminim2.flixcart.com/image/612/612/kzsqykw0/stuffed-toy/8/h/d/3-feet-pink-teddy-bear-with-neck-bow-88-os-retail-original-imagbqbycvygkak2.jpeg?q=70,https://www.flipkart.com/osjs-soft-toys-lover-teddy-bear-pink-colors-size-3-feet-very-90-2-cm/p/itm97fb71d38d14c?pid=STFG7G7VFT9CQXYE&lid=LSTSTFG7G7VFT9CQXYEEFZZZZ&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFG7G7VFT9CQXYE.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
3,eston Sofa for Kids Soft Plush Mickey Cushion Baby Sofa...,₹399,4.0,https://rukminim2.flixcart.com/image/612/612/kl6wx3k0/stuffed-toy/w/m/x/baby-stuffed-sofa-toy-sitting-chair-6-samaaya-original-imagyd43eygq8hbt.jpeg?q=70,https://www.flipkart.com/eston-sofa-kids-soft-plush-mickey-cushion-baby-seat-rocking-chair-35-inch/p/itm72380ece4ba25?pid=STFG25RUMCZZYUJB&lid=LSTSTFG25RUMCZZYUJBSS8RL4&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFG25RUMCZZYUJB.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
4,MiniJoy Super Soft Heart Colorful Teddy Stuffed Toy For...,₹237,4.0,https://rukminim2.flixcart.com/image/612/612/xif0q/stuffed-toy/x/e/z/super-soft-heart-colorful-teddy-stuffed-toy-for-kids-25-minijoy-original-imagxvt7yrxxbatf.jpeg?q=70,https://www.flipkart.com/minijoy-super-soft-heart-colorful-teddy-stuffed-toy-kids-25-cm/p/itmf3e99ec52a81e?pid=STFGXVT7NWBM8WC5&lid=LSTSTFGXVT7NWBM8WC5LQYS4B&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFGXVT7NWBM8WC5.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
5,"eston Combo Of ( Unicorn, Kitty, Penguin, Rabbit, Pikac...",₹449,4.1,https://rukminim2.flixcart.com/image/612/612/xif0q/stuffed-toy/o/k/f/combo-of-unicorn-kitty-penguin-rabbit-pikachu-white-elephant-original-imagwdhncuz2qjvc.jpeg?q=70,https://www.flipkart.com/eston-combo-unicorn-kitty-penguin-rabbit-pikachu-white-elephant-parrot-balloon-teddy-cap-heart-pillow-soft-stuffed-toys-birthday-gift-girls-wife-boyfriend-husband-wedding-anniversary-couple-special-baby-items-30-cm/p/itmd308cc84e6342?pid=STFG4RZAHXNWGJJA&lid=LSTSTFG4RZAHXNWGJJAAO78QP&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&spotlightTagId=BestsellerId_tng%2Fclb%2Fxv3&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFG4RZAHXNWGJJA.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
6,Osjs 4 feet Soft Toys /Huggable Pink color Teddy Bear f...,₹409,3.6,https://rukminim2.flixcart.com/image/612/612/kwl0akw0/stuffed-toy/a/w/s/stuffed-toys-5-feet-pink-teddy-bear-high-quality-love-teddy-for-original-imag982ajfkjw83h.jpeg?q=70,https://www.flipkart.com/osjs-4-feet-soft-toys-huggable-pink-color-teddy-bear-girlfriend-birthday-119-9-cm/p/itm1d0351276b677?pid=STFG8DFRPJUGMH6G&lid=LSTSTFG8DFRPJUGMH6GE4GATG&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFG8DFRPJUGMH6G.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
7,DOGEE Teddy Bear 3 Feet Panda Soft Toy | Birthday Gift ...,₹289,4.1,https://rukminim2.flixcart.com/image/612/612/ke353m80/stuffed-toy/h/k/y/5-feet-panda-very-beautiful-high-quality-huggable-cute-panda-original-imafuutgzc9hxzfv.jpeg?q=70,https://www.flipkart.com/dogee-teddy-bear-3-feet-panda-soft-toy-birthday-gift-girls-wife-90-cm/p/itm6e5531657f33a?pid=STFGA6YUGGZNYKNN&lid=LSTSTFGA6YUGGZNYKNNCIXV3H&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFGA6YUGGZNYKNN.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
8,Tedstree 3 Feet Yellow Teddy Bear Huggable/Valentine/Lo...,₹269,4.0,https://rukminim2.flixcart.com/image/612/612/kuvkcy80/stuffed-toy/i/s/x/3-feet-yellow-teddy-bear-huggable-valentine-loveable-gift-for-original-imag7wdqkhd2pqwt.jpeg?q=70,https://www.flipkart.com/tedstree-3-feet-yellow-teddy-bear-huggable-valentine-loveable-gift-someone-special-large-91-cm/p/itme637e0e5a0f86?pid=STFFP3SY9PRY4GBN&lid=LSTSTFFP3SY9PRY4GBNAVPFMF&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFFP3SY9PRY4GBN.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
9,fluffies 3 Feet Stuffed Spongy Hugable Cute Panda Teddy...,₹269,4.0,https://rukminim2.flixcart.com/image/612/612/kz065jk0/stuffed-toy/h/a/o/3-feet-stuffed-spongy-hugable-cute-panda-teddy-bear-91-cm-bl-original-imagb3ynjzqh3qph.jpeg?q=70,https://www.flipkart.com/fluffies-3-feet-stuffed-spongy-hugable-cute-panda-teddy-bear-91-cm-black/p/itma450660a2a524?pid=STFFT5JGCJKSZTEY&lid=LSTSTFFT5JGCJKSZTEYSBOH2R&marketplace=FLIPKART&q=teddy+bear&store=tng%2Fclb%2Fxv3&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_5_na_na_ps&fm=organic&iid=738f4414-dd23-4e22-9504-5a98f6d86c08.STFFT5JGCJKSZTEY.SEARCH&ppt=None&ppn=None&ssid=lfcknn830g0000001709040600832&qH=e2ec2b31abe380b9
